model,forecast_date,target,target_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Alabama,375,370,374,377,383
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Alaska,8,7,7,8,9
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Arizona,763,759,761,766,771
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Arkansas,191,191,191,192,193
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,California,2921,2860,2906,2958,3106
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Colorado,128,124,128,129,131
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Connecticut,186,185,185,186,187
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Delaware,72,71,71,72,72
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,District of Columbia,45,45,45,46,46
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Florida,1175,1164,1171,1179,1206
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Georgia,916,890,906,924,962
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Hawaii,15,14,14,15,16
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Idaho,47,46,46,47,47
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Illinois,542,529,540,544,548
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Indiana,346,345,345,347,348
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Iowa,79,76,78,80,80
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Kansas,109,108,108,109,110
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Kentucky,287,285,286,287,288
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Louisiana,306,301,304,308,312
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Maine,32,31,31,32,32
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Maryland,303,302,303,304,305
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Massachusetts,350,348,350,352,353
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Michigan,311,310,310,313,316
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Minnesota,90,89,89,90,91
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Mississippi,202,201,201,203,204
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Missouri,355,354,354,356,359
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Montana,27,26,27,28,28
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,National,19837,19485,19765,19896,20141
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Nebraska,68,68,68,71,75
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Nevada,245,244,244,246,252
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,New Hampshire,40,40,40,41,41
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,New Jersey,612,609,610,615,624
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,New Mexico,95,94,94,95,96
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,New York,1544,1506,1538,1551,1568
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,North Carolina,628,621,627,630,633
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,North Dakota,10,10,10,11,11
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Ohio,564,561,563,565,566
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Oklahoma,285,284,285,286,290
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Oregon,63,62,62,63,64
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Pennsylvania,708,705,707,710,714
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Puerto Rico,53,52,53,54,54
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,Rhode Island,59,58,58,60,60
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,South Carolina,428,426,427,429,431
Covid19Sim,2021-01-31,2 day ahead inc hosp,2021-02-02,South Dakota,29,28,28,29,29
