model,forecast_date,target,target_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Alabama,269,266,268,271,277
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Alaska,6,5,5,6,6
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Arizona,537,532,534,542,554
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Arkansas,136,135,135,137,138
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,California,2083,2012,2055,2112,2228
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Colorado,111,102,106,117,123
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Connecticut,144,143,143,144,146
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Delaware,53,52,52,53,54
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,District of Columbia,35,34,35,36,36
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Florida,882,866,875,889,923
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Georgia,676,656,669,691,751
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Hawaii,10,9,9,11,11
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Idaho,30,29,29,31,31
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Illinois,394,392,393,395,400
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Indiana,242,240,241,247,250
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Iowa,56,55,56,57,57
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Kansas,86,85,85,87,87
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Kentucky,208,205,207,209,215
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Louisiana,223,217,220,227,234
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Maine,25,25,25,26,26
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Maryland,229,227,228,229,231
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Massachusetts,255,253,254,256,260
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Michigan,220,217,219,222,224
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Minnesota,64,63,63,65,66
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Mississippi,147,146,146,147,149
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Missouri,252,247,248,260,261
Covid19Sim,2021-02-07,2 day ahead inc hosp,2021-02-09,Montana,16,16,16,17,17
