hospital,hospital_id,beds_combined_mean,beds_combined_median,beds_combined_minimum,beds_combined_maximum,beds_combined_std,beds_combined_mad,beds_icu_mean,beds_icu_median,beds_icu_minimum,beds_icu_maximum,beds_icu_std,beds_icu_mad,beds_acute_mean,beds_acute_median,beds_acute_minimum,beds_acute_maximum,beds_acute_std,beds_acute_mad,beds_combined_ped_mean,beds_combined_ped_median,beds_combined_ped_minimum,beds_combined_ped_maximum,beds_combined_ped_std,beds_combined_ped_mad,beds_icu_ped_mean,beds_icu_ped_median,beds_icu_ped_minimum,beds_icu_ped_maximum,beds_icu_ped_std,beds_icu_ped_mad,beds_acute_ped_mean,beds_acute_ped_median,beds_acute_ped_minimum,beds_acute_ped_maximum,beds_acute_ped_std,beds_acute_ped_mad
ABBEVILLE AREA MEDICAL CENTER,421301,17.57204301075269,18.0,10.3,18.4,1.6285740356011837,0.0,3.9393258426966296,6.0,0.0,6.0,2.836155287193314,0.0,13.720224719101125,12.0,6.000000000000001,18.0,2.8842511150005694,0.0,0.05483870967741935,0.0,0.0,5.1,0.5288453643125176,0.0,0.024418604651162797,0.0,0.0,1.7000000000000002,0.1878272338279033,0.0,0.039534883720930225,0.0,0.0,3.3999999999999995,0.3666314288916912,0.0
ABBEVILLE GENERAL HOSPITAL,190034,37.15806451612902,38.0,32.6,40.4,1.7417708742544544,0.8999999999999986,5.838709677419358,5.6,4.4,7.0,0.7790786445294541,0.5999999999999996,31.319354838709675,31.0,27.0,34.0,1.9673563184106877,2.0,1.1817204301075266,2.0,0.0,2.0,0.9838860658411287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1817204301075266,2.0,0.0,2.0,0.9838860658411287,0.0
ABBOTT NORTHWESTERN HOSPITAL,240057,491.06021505376344,464.7,400.3,693.1,79.38448558835134,12.900000000000034,50.53118279569894,51.3,34.4,63.3,5.636892809191025,3.8000000000000043,440.52903225806443,413.8,352.59999999999997,642.4,79.12047855155583,14.5,3.6548387096774184,0.0,0.0,27.100000000000023,8.586725297364433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6548387096774184,0.0,0.0,27.100000000000023,8.586725297364433,0.0
ABILENE REGIONAL MEDICAL CENTER,450558,82.65268817204306,82.0,62.1,107.0,10.003723126458311,6.299999999999997,14.072043010752688,14.4,7.4,21.3,2.8976139206099516,2.0999999999999996,68.58064516129033,68.0,50.1,91.0,8.298798473332253,5.599999999999994,1.7774193548387105,1.2999999999999972,0.0,5.1000000000000085,1.732372652466156,1.2999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,1.7774193548387105,1.2999999999999972,0.0,5.1000000000000085,1.732372652466156,1.2999999999999972
ABINGTON MEMORIAL HOSPITAL,390231,502.80329670329667,509.4,460.0,552.9,26.216031781036616,21.69999999999999,57.678021978021974,57.0,52.0,64.0,3.05027511319525,2.0,445.12527472527483,450.4,396.0,489.9,25.604841527451597,19.69999999999999,49.746153846153845,49.0,48.80000000000007,86.0,4.442229362538773,0.0,34.04725274725275,34.0,33.99999999999999,37.0,0.34135047461538254,0.0,15.698901098901098,15.0,14.800000000000068,49.0,4.1225260461543405,0.0
ABRAHAM LINCOLN MEMORIAL HOSPITAL,141322,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRAZO ARROWHEAD CAMPUS,030094,213.58795180722896,207.3,148.3,278.0,25.952016687417387,14.600000000000023,37.633734939759044,38.0,26.0,47.0,3.6817372989720996,0.6000000000000014,175.95421686746988,170.9,118.30000000000001,240.0,24.793622809125242,13.599999999999994,1.8783132530120485,0.0,0.0,59.099999999999994,7.505072239179982,0.0,19.80361445783132,20.700000000000003,9.699999999999996,32.099999999999994,2.958552949815432,0.5,0.5036144578313253,0.0,0.0,39.49999999999999,4.336809150244229,0.0
ABRAZO CENTRAL CAMPUS,030030,124.5602409638554,115.7,92.0,206.1,22.851460644776402,7.3999999999999915,27.354216867469876,28.0,15.8,35.0,2.487201444508601,0.10000000000000142,97.20602409638552,89.5,64.0,178.1,22.338173328585953,7.800000000000011,0.4144578313253013,0.0,0.0,12.0,1.829509632429236,0.0,0.27710843373493976,0.0,0.0,12.2,1.7775925965524983,0.0,0.4144578313253013,0.0,0.0,12.0,1.829509632429236,0.0
ABRAZO SCOTTSDALE CAMPUS,030083,71.49879518072288,64.3,46.6,133.0,22.042207261745197,8.700000000000003,13.630120481927714,14.0,4.7,14.4,1.2733415746746386,0.0,57.868674698795175,50.3,32.6,119.0,21.839636866625312,8.699999999999996,0.25903614457831325,0.0,0.0,12.599999999999994,1.4659581187723987,0.0,0.16867469879518074,0.0,0.0,9.3,1.1239008409133318,0.0,0.19999999999999993,0.0,0.0,12.599999999999994,1.4222105775268532,0.0
ABRAZO WEST CAMPUS,030110,196.64337349397587,184.0,137.9,321.0,47.07909067436047,18.900000000000006,49.72048192771084,49.0,19.2,66.4,10.061078822968565,10.0,146.9228915662651,136.9,88.9,262.0,44.49115923499258,18.0,21.968674698795184,27.19999999999999,0.0,36.79999999999998,11.474286499002078,5.699999999999989,26.973493975903605,27.099999999999994,9.100000000000001,50.6,9.65119838808543,6.29999999999999,1.977108433734938,0.0,0.0,12.699999999999989,3.3390273631704734,0.0
