hospital,hospital_id,capacity_combined,capacity_icu,capacity_acute,capacity_combined_ped,capacity_icu_ped,capacity_acute_ped,capacity_combined_lb,capacity_icu_lb,capacity_acute_lb,capacity_combined_ped_lb,capacity_icu_ped_lb,capacity_acute_ped_lb,capacity_combined_ub,capacity_icu_ub,capacity_acute_ub,capacity_combined_ped_ub,capacity_icu_ped_ub,capacity_acute_ped_ub
ABBEVILLE AREA MEDICAL CENTER,421301,17.514634146341464,3.648717948717949,13.962820512820514,0.062195121951219505,0.028000000000000008,0.04533333333333333,15.787142426454967,0.7331197904127609,10.958662832211292,0.0,0.0,0.0,19.242125866227962,6.564316107023137,16.966978193429735,0.6253959049329368,0.22905129102202149,0.4379315163822793
ABBEVILLE GENERAL HOSPITAL,190034,37.02682926829267,5.932926829268295,31.093902439024387,1.340243902439024,0.0,1.340243902439024,35.214999228264745,5.159757166184391,29.103657863137837,0.39981324772790394,0.0,0.39981324772790394,38.8386593083206,6.7060964923521995,33.08414701491093,2.280674557150144,0.0,2.280674557150144
ABBOTT NORTHWESTERN HOSPITAL,240057,495.5670731707317,51.60000000000001,443.96707317073174,0.9463414634146338,0.0,0.9463414634146338,412.09609787240515,46.64898065115955,360.33337145346434,0.0,0.0,0.0,579.0380484690583,56.55101934884047,527.6007748879991,5.40881033447392,0.0,5.40881033447392
ABILENE REGIONAL MEDICAL CENTER,450558,83.87195121951223,14.529268292682929,69.34268292682926,1.7085365853658538,0.0,1.7085365853658538,74.17637154207459,11.88727653538146,61.174360638296896,0.0,0.0,0.0,93.56753089694986,17.171260049984397,77.51100521536162,3.4784637805981227,0.0,3.4784637805981227
ABINGTON MEMORIAL HOSPITAL,390231,502.7075000000001,57.57125,445.1362500000002,49.84875,34.05375,15.794999999999998,476.9712537038185,54.49191118596125,419.6897698338141,45.11663527081956,33.6898945028795,11.403613148330866,528.4437462961818,60.65058881403875,470.58273016618625,54.58086472918045,34.417605497120505,20.18638685166913
ABRAHAM LINCOLN MEMORIAL HOSPITAL,141322,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0
ABRAZO ARROWHEAD CAMPUS,030094,212.92222222222225,38.402777777777786,174.51944444444447,1.2263888888888894,19.768055555555552,0.031944444444444504,189.74885709477036,35.59634792593719,152.13336577941539,0.0,16.822979627464356,0.0,236.09558734967413,41.20920762961838,196.90552310947356,5.402477531827115,22.713131483646748,0.23669533320338115
ABRAZO CENTRAL CAMPUS,030030,119.04999999999998,27.204166666666666,91.84583333333332,0.47777777777777786,0.3194444444444444,0.47777777777777786,101.54738047774433,24.60213942341038,74.74381189363375,0.0,0.0,0.0,136.55261952225564,29.80619390992295,108.94785477303289,2.4360913827128736,2.2261885086669047,2.4360913827128736
ABRAZO SCOTTSDALE CAMPUS,030083,67.04583333333332,13.60138888888889,53.444444444444436,0.12361111111111119,0.19444444444444448,0.05555555555555555,48.77975658272388,12.254144120350642,35.369437274485875,0.0,0.0,0.0,85.31191008394276,14.948633657427138,71.519451614403,0.6793730055003245,1.400168922920711,0.4345419312030817
ABRAZO WEST CAMPUS,030110,190.9944444444444,49.229166666666664,141.7652777777778,25.325000000000003,29.137499999999996,2.2791666666666646,150.15296494658176,39.04690595999688,102.54587269390359,17.209517491976953,20.744118343372982,0.0,231.83592394230706,59.41142737333645,180.98468286165203,33.44048250802305,37.53088165662701,5.768907667589385
ACADIA ST LANDRY,191319,15.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0
ACADIAN MEDICAL CENTER,190318,30.70731707317073,4.0,26.892307692307686,2.0,0.0,2.0,28.396805372707714,4.0,24.69474296987271,1.9999999999999993,0.0,1.9999999999999993,33.01782877363375,4.0,29.08987241474266,2.0000000000000004,0.0,2.0000000000000004
ACMH HOSPITAL,390163,68.46197183098592,9.414084507042254,59.04788732394367,0.0,0.0,0.0,32.72188882605719,7.752906287081849,23.377752320174423,0.0,0.0,0.0,104.20205483591465,11.07526272700266,94.71802232771292,0.0,0.0,0.0
ACUITY SPECIALTY HOSPITAL OF MORGANTOWN,512004,23.992682926829268,8.392,15.50666666666667,0.0,0.0,0.0,22.016167693868827,4.812412223642413,10.970763844249241,0.0,0.0,0.0,25.96919815978971,11.971587776357586,20.042569489084098,0.0,0.0,0.0
ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,312023,31.50789473684211,0.0,31.50789473684211,0.04868421052631583,0.0,0.04933333333333337,25.748432651823066,0.0,25.748432651823066,0.0,0.0,0.0,37.267356821861156,0.0,37.267356821861156,0.2960670021954924,0.0,0.2983168524521559
ACUITY SPECIALTY HOSPITAL OF SOUTHERN NEW JERSEY,312022,67.54025974025973,0.0,67.54025974025973,0.0,0.0,0.0,63.2741367703015,0.0,63.2741367703015,0.0,0.0,0.0,71.80638271021795,0.0,71.80638271021795,0.0,0.0,0.0
ACUITY SPECIALTY HOSPITAL OHIO VALLEY,512005,63.61829268292683,26.599999999999994,37.383750000000006,0.0,0.0,0.0,56.29113824816773,16.86166390632271,26.811868932574143,0.0,0.0,0.0,70.94544711768593,36.33833609367728,47.95563106742587,0.0,0.0,0.0
"AD HOSPITAL EAST, LLC",670102,27.37804878048781,0.6175675675675676,23.49054054054054,0.4109756097560976,0.0,0.3095890410958904,8.161838902583554,0.0,7.598618159529256,0.0,0.0,0.0,46.594258658392064,2.3142491077502694,39.38246292155182,1.361349947642922,0.0,0.942080671159448
ADAIR COUNTY MEMORIAL HOSPITAL,161310,4.983999999999999,0.0,4.983999999999999,1.3359999999999996,0.0,1.3359999999999996,4.218776721037142,0.0,4.218776721037142,0.4486443779408389,0.0,0.4486443779408389,5.749223278962856,0.0,5.749223278962856,2.2233556220591604,0.0,2.2233556220591604
ADAMS COUNTY REGIONAL MEDICAL CENTER,361326,24.4390243902439,0.0,24.41772151898734,0.0,0.0,0.0,22.644605326263708,0.0,22.592558407648372,0.0,0.0,0.0,26.233443454224094,0.0,26.242884630326305,0.0,0.0,0.0
