hospital,date,active_icu,admitted_icu,active_acute,admitted_acute,active_allbeds,admitted_allbeds
Anne Arundel Medical Center,2020-11-25,34.76757482381426,0.0,268.1809495835275,0.0,302.9485244073417,0.0
Anne Arundel Medical Center,2020-11-26,34.807824221963386,0.9435922642968819,268.8719099856016,11.255626603468272,303.67973420756493,12.199218867765154
Anne Arundel Medical Center,2020-11-27,34.85451859028048,1.3685139825812949,269.5870357967744,14.156710623337283,304.44155438705485,15.525224605918577
Anne Arundel Medical Center,2020-11-28,34.907883283389545,1.686373420852996,270.3271719839797,16.100412854918805,305.23505526736926,17.7867862757718
Anne Arundel Medical Center,2020-11-29,34.9681281646474,1.9392983222549276,271.09310542966085,17.544440311126294,306.06123359430825,19.483738633381222
Anne Arundel Medical Center,2020-11-30,35.035444759162694,2.1451866422512818,271.88555425701804,18.668672815106106,306.92099901618076,20.81385945735739
Anne Arundel Medical Center,2020-12-01,35.11000332195397,2.3143331394805133,272.70515683707043,19.567324484825118,307.8151601590244,21.88165762430563
Anne Arundel Medical Center,2020-12-02,35.19194984508107,2.4537486842394634,273.5524605668981,20.298148198190773,308.7444104119792,22.751896882430238
Anne Arundel Medical Center,2020-12-03,35.281403030364,2.568722185311577,274.4279105188547,20.900130016459062,309.7093135492187,23.468852201770638
Anne Arundel Medical Center,2020-12-04,35.3784512569416,2.6634963147244384,275.3318380704314,21.40129465789951,310.710289327373,24.064790972623946
Anne Arundel Medical Center,2020-12-05,35.483149575363285,2.7415958840194423,276.26444963360734,21.822653818967613,311.74759920897066,24.564249702987055
Anne Arundel Medical Center,2020-12-06,35.59551676209767,2.8060025905253343,277.2258156107326,22.18041558031107,312.8213323728302,24.986418170836405
Anne Arundel Medical Center,2020-12-07,35.71553247022653,2.8592565558096683,278.2158597110579,22.487322867509775,313.9313921812844,25.346579423319444
Anne Arundel Medical Center,2020-12-08,35.84313451361789,2.903521433156923,279.2343487677446,22.753518691284587,315.0774832813625,25.657040124441508
Anne Arundel Medical Center,2020-12-09,35.978216322986725,2.940630980027249,280.28088319936677,22.98713664307977,316.2590995223535,25.927767623107016
Anne Arundel Medical Center,2020-12-10,36.12062461290782,2.9721260906303466,281.3548882623781,23.19472263424292,317.4755128752859,26.166848724873265
